# edit_id	timestamp	iso8601	filepath	edit_type
vknSN8vnh	1593381268165	2020-06-28T23:54:28+02:00	src/iso8601datetime.js	CHANGE
FCy1YQ-Ty	1593381308008	2020-06-28T23:55:08+02:00	readme.md	ADD
WVCN5wY8a	1593381351558	2020-06-28T23:55:51+02:00	readme.md	CHANGE
chBwhyG-s	1593381360072	2020-06-28T23:56:00+02:00	package.json	CHANGE
